acct_id,person_id,platform,username,display_name,email,type,department,title,manager_id,hr_status,status,last_login,dormancy_days,mfa_enabled,is_admin,created_at
acct-act-ID-0000-de8040,ID-0000,active_directory,donald.garcia,Donald Garcia,johnsonjoshua@example.org,human,Security,SOC Analyst,,terminated,active,2026-05-30T12:44:11.753005,21,True,False,2025-12-02T12:44:11.753005
acct-git-ID-0000-75a05e,ID-0000,github,donaldg17,Donald Garcia,johnsonjoshua@example.org,human,Security,SOC Analyst,,terminated,active,2026-06-07T12:44:11.753005,13,True,False,2025-03-14T12:44:11.753005
acct-sal-ID-0001-39aed2,ID-0001,salesforce,jeffery.wagner,Jeffery Wagner,garzaanthony@example.org,human,Legal,Legal Counsel,ID-0000,terminated,active,2026-06-04T12:44:11.753005,16,True,False,2026-03-24T12:44:11.753005
acct-act-ID-0001-936a99,ID-0001,active_directory,jeffery.wagner,Jeffery Wagner,garzaanthony@example.org,human,Legal,Legal Counsel,ID-0000,terminated,active,2026-05-23T12:44:11.753005,28,True,False,2026-01-19T12:44:11.753005
acct-okt-ID-0001-57cac5,ID-0001,okta,jeffery.wagner,Jeffery Wagner,garzaanthony@example.org,human,Legal,Legal Counsel,ID-0000,terminated,active,2026-06-18T12:44:11.753005,2,True,False,2025-08-27T12:44:11.753005
acct-aws-ID-0001-900620,ID-0001,aws_iam,jwagner,Jeffery Wagner,garzaanthony@example.org,human,Legal,Legal Counsel,ID-0000,terminated,active,2026-05-30T12:44:11.753005,21,False,False,2026-03-08T12:44:11.753005
acct-okt-ID-0002-84ecf9,ID-0002,okta,amy.robinson,Amy Robinson,hoffmanjennifer@example.net,human,DevOps,DevOps Engineer,ID-0001,terminated,active,2026-06-14T12:44:11.753005,6,True,False,2024-09-02T12:44:11.753005
acct-act-ID-0002-1360c5,ID-0002,active_directory,amy.robinson,Amy Robinson,hoffmanjennifer@example.net,human,DevOps,DevOps Engineer,ID-0001,terminated,active,2026-06-02T12:44:11.753005,18,False,False,2025-08-24T12:44:11.753005
acct-aws-ID-0003-4ae086,ID-0003,aws_iam,rramirez,Roberto Ramirez,lisa02@example.net,human,Security,CISO,ID-0002,terminated,active,2026-05-21T12:44:11.753005,30,True,False,2024-08-10T12:44:11.753005
acct-okt-ID-0003-84d31b,ID-0003,okta,roberto.ramirez,Roberto Ramirez,lisa02@example.net,human,Security,CISO,ID-0002,terminated,active,2026-05-26T12:44:11.753005,25,True,False,2025-12-07T12:44:11.753005
